Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
Bones (The End in the End),2017,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,mid,peripheral,Forensics,positive,"Crime,Drama,Mystery"
Bones (The Man in The Mud),2008,TV Ep,"Forensics, DNAtoID",NA,NA,Government,DNA seq,mid,central,Forensics,positive,"Crime,Drama,Mystery"
Bones (The Master in the Slop),2014,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,mid,peripheral,"Mortality, Forensics, Sacrifice",positive,"Crime,Drama,Mystery"
"Boogie Man Will Get You, The",1942,Film,"GeneEngHu, BioWar/Terror",human,Yes,Private,NA,low,peripheral,"SciMad, Posthumanism, Monsters",negative,"Comedy,Horror"
"Bourne Legacy, The",2012,Film,GeneEngHu,human,No,Government,viral vector,low,peripheral,Posthumanism,mixed,"Action,Adventure,Thriller"
"Boy and His Dog, A",1975,Film,"GMOs, Conservation","human, animal",No,Government,NA,low,peripheral,"SexGender, Exploitation, Interdependence, Vulnerability",negative,"Comedy,Drama,Sci-Fi"
"Boys from Brazil, The",1978,Film,"Cloning, Essentialism",human,Mixed,Private,SCNT,high,central,"NatureVNurture, Childhood, Adoption/NonBioParent, Race, Prometheus, SciNazi",negative,"Drama,Mystery,Sci-Fi"
Brave New World,1980,Film,"Cloning, Mutation, Eugenics, GeneEngHu, Sex",human,No,Government,NA,low,peripheral,"Autonomy, SciCold, Posthumanism, SexGender",negative,"Drama,Sci-Fi"
Brave New World,1998,Film,"GeneEngHu, Sex, Eugenics",human,No,Government,NA,mid,central,"NatureVNurture, Autonomy, Sacrifice, SexGender, Posthumanism",negative,"Drama,Sci-Fi"
Bride of the Monster,1955,Film,Mutation,human,Yes,Private,radiation,low,peripheral,"SciMad, Posthumanism, Prometheus",negative,"Horror,Sci-Fi"
Broadchruch (season 3),2017,TV Ep,"DNAtoID, Forensics, DataPrivacy, Biobank",NA,NA,Government,NA,mid,peripheral,"Forensics, SexGender",positive,"Crime,Drama,Mystery"
Buffy the Vampire Slayer (Go Fish),1998,TV Ep,"Chimera/TransGen, GeneTherapy",human,Yes,Private,NA,low,peripheral,"Monsters, Prometheus",negative,"Action,Drama,Fantasy"
Captive Women,1952,Film,"Mutation, Eugenics",human,Mixed,Accident,radiation,low,peripheral,"Discrimination, Race, Posthumanism, SexGender",mixed,Sci-Fi
Carnosaur,1993,Film,"GMOs, BioWar/Terror","animal, microbe",Yes,Private,NA,low,peripheral,"Monsters, SciMad, Prometheus",negative,"Horror,Sci-Fi"
Century City (Only You),2004,TV Ep,"Biobank, DNAtoID, Sex, GeneEngHu, Cloning",human,Mixed,Medical,IVF,mid,central,"Forensics, Posthumanism, Discrimination, Adoption/NonBioParent",mixed,"Drama,Sci-Fi"
Century City (Pilot),2004,TV Ep,"Cloning, OrganHarvest, GeneEngHu",human,No,Medical,"clone from cells, IVF",high,central,"Posthumanism, Individualism, Bioethics, Genealogy",mixed,"Drama,Sci-Fi"
Century City (Sweet Child of Mine),2004,TV Ep,"Essentialism, GeneEngHu, GeneScreen, Eugenics",human,No,Medical,"IVF, gay gene",mid,peripheral,"Discrimination, Posthumanism, LGBTQIA, Childhood",negative,"Drama,Sci-Fi"
Chicago Hope (Adventures in Babysitting),1999,TV Ep,"Sex, Eugenics",human,No,Private,NA,mid,central,"Adoption/NonBioParent, Bioethics",mixed,"Drama,Mystery,Thriller"
"Chicago Hope (Faith, Hope, and Surgery)",2000,TV Ep,Cloning,human,No,Academic,NA,low,peripheral,"Religion, Bioethics",negative,"Drama,Mystery,Thriller"
Chicago Hope (Missed Conception),1997,TV Ep,"GeneTherapy, Sex",human,No,Medical,NA,high,peripheral,"SexGender, Bioethics, Medicine/pos",positive,"Drama,Mystery,Thriller"
Chicago Hope (Positive I.D.'s),1997,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,mid,central,"Autonomy, SexGender, Childhood",mixed,"Drama,Mystery,Thriller"
Chicago Hope (Simon Sez),2000,TV Ep,"GeneDisease, Eugenics",human,No,Medical,NA,mid,peripheral,"Disability, Autonomy, Discrimination, Medicine/neg",negative,"Drama,Mystery,Thriller"
"Chicago Hope (Upstairs, Downstairs)",1999,TV Ep,Sex,human,No,Medical,IFV,high,peripheral,"Bioethics, Medicine/pos, SexGender, Autonomy",positive,"Drama,Mystery,Thriller"
Chicago Med (Bound),2016,TV Ep,"GeneDisease, GeneScreen, GeneTherapy",human,No,Medical,NA,high,peripheral,"Medicine/pos, Vulnerability, Childhood",mixed,Drama
Chicago Med (Free Will),2016,TV Ep,GeneDisease,human,No,NA,NA,low,peripheral,"Childhood, Medicine/pos, LGBTQIA, Discrimination",mixed,Drama
Chicago Med (Inheritance),2016,TV Ep,"Sex, GeneDisease",human,No,Corporation,NA,low,peripheral,"SexGender, Exploitation, Adoption/NonBioParent",negative,Drama
Chicago Med (Reunion),2016,TV Ep,GeneDisease,human,No,NA,NA,low,peripheral,"Childhood, Disability",negative,Drama
Chicago Med (Ties That Bind),2018,TV Ep,"Eugenics, GeneDisease",human,No,Government,NA,mid,peripheral,"SexGender, Discrimination, Vulnerability",negative,Drama
Chicago Med (Timing),2016,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,DNA seq,high,peripheral,Medicine/pos,mixed,Drama
Children of Men,2006,Film,"WorldHunger, Sex, Conservation",NA,NA,Private,NA,low,peripheral,"SexGender, Sacrifice, Vulnerability, Interdependence, Religion, SciDedicated",positive,"Action,Drama,Sci-Fi"
Children of the Damned,1964,Film,"Sex, Evolution",human,Mixed,NA,NA,low,peripheral,"Monsters, SexGender, Posthumanism",negative,"Drama,Horror,Mystery"
Chimera (entire series),1991,TV series,"GeneEngHu, Chimera/TransGen","human, animal",Yes,Corporation,IVF,low,peripheral,"SexGender, Monsters, Bioethics, SciDedicated, Childhood",negative,Horror
Chimera Strain,2018,Film,"GeneDisease, Chimera/TransGen, Cloning, GeneEngHu, DataPrivacy, OrganHarvest","animal, human",No,"Corporation, Private","stem cells, IVF",mid,central,"SciMad, Autonomy, Posthumanism, Mortality",mixed,"Drama,Sci-Fi,Thriller"
"City of Lost Children, The",1995,Film,Cloning,human,No,Private,NA,low,peripheral,"Autonomy, Childhood, SciMad, Exploitation, Individualism, Interdependence, Galatea",mixed,"Action,Adventure,Drama"
Clone High (entire series),2002,TV series,"Cloning, Essentialism",human,No,Government,NA,low,peripheral,"Childhood, Exploitation, Adoption/NonBioParent",mixed,"Animation,Comedy,Sci-Fi"
"Clone Master, The",1978,TV Movie,"Cloning, Essentialism",human,No,Academic,NA,low,peripheral,"Individualism, Bioethics, SciDedicated",mixed,Sci-Fi
"Clone, The",2001,TV series,Cloning,human,No,Private,NA,low,peripheral,"Autonomy, Religion, Adoption/NonBioParent, SexGender, Individualism",positive,"Drama,Romance,Sci-Fi"
Cloned,1997,TV Movie,"Cloning, DNAtoID, OrganHarvest, DataPrivacy",human,No,Corporation,IVF,mid,central,"Exploitation, SciCold",mixed,"Action,Drama,Sci-Fi"
"Clones of Bruce Lee, The",1980,Film,Cloning,human,No,Academic,NA,low,peripheral,"Prometheus, Exploitation, SciMad",positive,"Action,Drama"
"Clones, The",1973,Film,Cloning,human,No,Academic,NA,low,peripheral,"Individualism, SciCold, Vulnerability",negative,"Action,Sci-Fi"
"Clonus Horror, The",1979,Film,"Cloning, OrganHarvest",human,No,Corporation,NA,low,peripheral,"Exploitation, Autonomy, Bioethics, Individualism, Medicine/neg, Mortality",negative,"Horror,Romance,Sci-Fi"
Cloud Atlas,2012,Film,"Cloning, DNAtoID",human,No,"Corporation, Government",NA,low,peripheral,"Exploitation, SexGender, Autonomy, Galatea, Individualism, Race",negative,"Drama,Mystery,Sci-Fi"
Code 46,2003,Film,"Cloning, GeneScreen, DataPrivacy",human,No,Government,IVF,mid,central,"NatureVNurture, Autonomy, Discrimination, Genealogy",mixed,"Drama,Romance,Sci-Fi"
College Holiday,1936,Film,Eugenics,NA,NA,Academic,NA,low,central,"Exploitation, SciDedicated",mixed,"Comedy,Musical,Romance"
"Congress, The",2013,Film,GeneDisease,human,No,NA,NA,low,peripheral,"Autonomy, Exploitation, Posthumanism, Bioethics",negative,"Animation,Drama,Sci-Fi"
Continuum (Wasting Time),2013,TV Ep,"BioWar/Terror, DataPrivacy, GeneScreen, OrganHarvest, Biobank",human,Yes,Private,NA,mid,central,"Exploitation, Forensics, Posthumanism, Vulnerability",negative,"Action,Sci-Fi,Thriller"
Corazon Azul,2021,Film,"Eugenics, GeneEngHu",human,Mixed,Government,NA,low,peripheral,"Bioethics, Exploitation, Monsters, Posthumanism, Prometheus",negative,"Drama,Horror,Sci-Fi"
Corn,2004,Film,"GMOs, Monoculture, Chimera/TransGen, Mutation","plant, animal",Yes,Corporation,NA,low,central,"SexGender, Vulnerability, Forensics, Bioethics",negative,"Drama,Sci-Fi,Thriller"
Coroner (Crispr Sistr),2020,TV Ep,"DataPrivacy, GeneDisease, GeneEngHu, GeneTherapy, GMOs","human, animal",No,"Academic, Corporation",CRISPR,low,central,"Bioethics, Disability, Forensics, Genealogy, Medicine/pos",positive,"Crime,Drama,Mystery"
Counterblast,1948,Film,BioWar/Terror,microbe,NA,Private,vaccine,mid,peripheral,"Bioethics, Medicine/neg, SciNazi",negative,"Crime,Drama"
Creator,1985,Film,"Cloning, Essentialism",human,No,Academic,SCNT,mid,peripheral,"SexGender, Individualism, Medicine/pos, Religion, SciDedicated, Mortality",positive,"Comedy,Romance,Sci-Fi"
Crimes of the Future,2022,Film,"Eugenics, Evolution, Mutation, OrganHarvest",human,No,NA,NA,low,peripheral,"Bioethics, SexGender, Genealogy, Medicine/neg, Monsters, Posthumanism, Discrimination, SciMad",negative,"Drama,Horror,Sci-Fi"
Criminal Minds (Innocence),2018,TV Ep,"Forensics, Biobank, DNAtoID",human,NA,"Corporation, Government",direct to consumer testing,mid,central,"Adoption/NonBioParent, Childhood, Forensics",mixed,"Crime,Drama,Mystery"
Criminal Minds (Masterpiece),2008,TV Ep,Essentialism,human,Yes,NA,Jacobs syndrome,high,peripheral,"Forensics, SciMad",negative,"Crime,Drama,Mystery"
Criminal Minds (Memoriam),2008,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,low,peripheral,"Forensics, Childhood",positive,"Crime,Drama,Mystery"
Criminal Minds (Outfoxed),2009,TV Ep,Essentialism,human,Yes,NA,NA,low,peripheral,"SexGender, Childhood, Vulnerability, Forensics",negative,"Crime,Drama,Mystery"
"Crimson Rivers, The",2000,Film,"GeneDisease, Eugenics",human,No,Academic,NA,low,central,"Forensics, Religion, SciNazi, Medicine/neg, SexGender",negative,"Crime,Mystery,Thriller"
CSI (Anonymous),2000,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,mid,peripheral,Forensics,positive,"Crime,Drama,Mystery"
CSI (Bloodlines),2004,TV Ep,"Chimera/TransGen, DNAtoID, Forensics",human,Yes,"Accident, Government",NA,high,central,"SexGender, Forensics, SciDedicated",mixed,"Crime,Drama,Mystery"
CSI (Dog Eat Dog),2005,TV Ep,GeneDisease,human,No,NA,NA,low,peripheral,"Forensics, Disability",negative,"Crime,Drama,Mystery"
CSI (Execution of Catherine Willows),2002,TV Ep,"DNAtoID, Forensics",NA,NA,Government,mitochondria seq,mid,central,Forensics,positive,"Crime,Drama,Mystery"
CSI (Genetic Disorder),2008,TV Ep,"DNAtoID, Forensics, Biobank",NA,NA,Government,"touch (trace) DNA, STR seq",low,central,"Genealogy, Forensics, Adoption/NonBioParent",positive,"Crime,Drama,Mystery"
CSI (Happenstance),2006,TV Ep,"DNAtoID, Forensics, Biobank",NA,NA,Government,NA,mid,peripheral,"Adoption/NonBioParent, Forensics, SexGender",positive,"Crime,Drama,Mystery"
CSI (Harvest),2004,TV Ep,"OrganHarvest, DNAtoID, Forensics",human,No,"Government, Medical",cord blood stem cell,high,peripheral,"Vulnerability, Childhood, Exploitation, Forensics",negative,"Crime,Drama,Mystery"
CSI (Organ Grinder),2001,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,mid,peripheral,"Forensics, SexGender, Interdependence",positive,"Crime,Drama,Mystery"
CSI (Risky Business Class),2012,TV Ep,"DNAtoID, Forensics",NA,NA,"Government, Private",direct to consumer testing,low,peripheral,"LGBTQIA, Genealogy, Forensics",positive,"Crime,Drama,Mystery"
CSI (Snuff),2002,TV Ep,"GeneDisease, Biobank, DNAtoID, Forensics, Mutation",human,No,Government,NA,high,peripheral,Forensics,positive,"Crime,Drama,Mystery"
CSI (The Twin Paradox),2014,TV Ep,"DNAtoID, Forensics, Sex",NA,NA,Government,NA,mid,peripheral,"Adoption/NonBioParent, Forensics, Autonomy, SexGender, LGBTQIA, Vulnerability",positive,"Crime,Drama,Mystery"
CSI: Miami (Born to Kill),2007,TV Ep,"DNAtoID, GeneScreen, Essentialism, Forensics",human,No,Government,Jacobs syndrome,mid,central,"Childhood, Sacrifice, Forensics, NatureVNurture",negative,"Action,Crime,Drama"
"Cyclops, The",1957,Film,Mutation,"animal, human",Yes,Accident,radiation,low,peripheral,Monsters,negative,"Horror,Sci-Fi"
Dallas (Paternity Suit),1980,TV Ep,DNAtoID,NA,NA,Government,NA,high,central,Genealogy,positive,"Drama,Romance"
Dallas (The Silent Killer & Secrets & The Lost Child),1979,TV Ep,GeneDisease,human,No,NA,NA,low,central,"Genealogy, SexGender, Vulnerability",negative,"Drama,Romance"
Dallas (The Sound of Money),1989,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,SexGender,mixed,"Drama,Romance"
"Damned, The",1963,Film,"GeneDisease, Eugenics",human,No,Accident,radiation,low,peripheral,"Childhood, Adoption/NonBioParent, Bioethics, Posthumanism, SciCold",negative,"Drama,Fantasy,Horror"
Dark Angel (entire series),2000,TV series,"BioWar/Terror, Chimera/TransGen, DataPrivacy, GeneDisease, GeneEngHu, Eugenics, Cloning",human,No,Government,"IVF, viral vector",low,central,"Autonomy, Bioethics, Childhood, Disability, Discrimination, Exploitation, Prometheus, SexGender, Genealogy, Posthumanism, SciCold, Vulnerability",mixed,"Action,Drama,Mystery"
Dark Phoenix,2019,Film,Mutation,human,Mixed,NA,NA,low,peripheral,"Adoption/NonBioParent, Monsters, Sacrifice",negative,"Action,Adventure,Sci-Fi"
"Darker Side of Terror, The",1979,Film,"Cloning, DataPrivacy, Biobank","human, animal",Yes,Academic,SCNT,high,central,"Bioethics, Autonomy, SciDedicated, Prometheus",negative,"Drama,Horror,Romance"
"Daughter of Destiny, A",1928,Film,"Essentialism, Chimera/TransGen, GeneEngHu",human,Yes,Academic,NA,low,central,"Adoption/NonBioParent, Exploitation, SexGender, Galatea, SciMad",negative,Drama
Dawn of the Planet of the Apes,2014,Film,"GMOs, Evolution",animal,No,Corporation,NA,low,peripheral,"Bioethics, Discrimination, Exploitation, Race, Interdependence, Medicine/pos, Posthumanism",mixed,"Action,Adventure,Drama"
"Day of the Triffids, The (entire series)",2009,TV series,"GMOs, Conservation",plant,Mixed,Corporation,NA,low,peripheral,"Disability, Discrimination, Monsters, Vulnerability, SciDedicated",mixed,"Action,Horror,Sci-Fi"
Day the World Ended,1955,Film,"Mutation, Conservation",human,Yes,Accident,radiation,low,peripheral,"Monsters, SexGender",negative,"Horror,Sci-Fi"
Deadpool,2016,Film,"Mutation, GeneTherapy",human,Mixed,Corporation,NA,low,peripheral,"Exploitation, Prometheus, Medicine/neg, Mortality, Posthumanism",mixed,"Action,Comedy"
Deadpool 2,2018,Film,Mutation,human,No,NA,NA,low,peripheral,"Adoption/NonBioparent, Childhood, Discrimination, Medicine/neg, Sacrifice",positive,"Action,Adventure,Comedy"
Death Laid an Egg,1968,Film,"Mutation, GMOs",animal,No,Corporation,radiation,low,peripheral,"SexGender, Monsters, SciCold",negative,"Horror,Thriller"
Debris (You Are Not Alone),2021,TV Ep,"Cloning, DNAtoID",human,No,Accident,NA,low,peripheral,Forensics,negative,"Drama,Mystery,Sci-Fi"
Decoding Annie Parker,2013,Film,"GeneDisease, DNAscreen, Biobank",human,No,NA,genetic mapping (BRCA),high,central,"Genealogy, Vulnerability, SciDedicated, Medicine/pos, SexGender",positive,Drama
Deep Blue Sea,1999,Film,"GeneTherapy, Mutation",animal,Yes,Academic,NA,low,peripheral,"Prometheus, Sacrifice, SciDedicated, Monsters",negative,"Action,Adventure,Sci-Fi"
Deep Blue Sea 2,2018,Film,Mutation,animal,Yes,Private,NA,low,peripheral,"Prometheus, Monsters",negative,"Action,Horror,Sci-Fi"
Delivery Man,2013,Film,Sex,human,No,Medical,NA,mid,central,"Disability, Adoption/NonBioParent, Autonomy, Bioethics, Medicine/neg",mixed,"Comedy,Drama"
Demon Seed,1977,Film,"Sex, GeneEngHu, Cloning",human,Yes,Private,artificial sperm from cells,low,central,"Adoption/NonBioParent, Vulnerability, Autonomy, SexGender",negative,"Horror,Sci-Fi"
Designated Survivor (#identity/crisis),2019,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,"Corporation, Private",CRISPR,high,central,"Bioethics, LGBTQIA, SciNazi",mixed,"Action,Drama,Mystery"
Designated Survivor (#makehistory),2019,TV Ep,"BioWar/Terror, Eugenics, GeneScreen, GMOs",microbe,Yes,"Corporation, Private",NA,high,central,"Adoption/NonBioParent, Genealogy, Race, Vulnerability",mixed,"Action,Drama,Mystery"
Designated Survivor (#nothingpersonal),2019,TV Ep,BioWar/Terror,microbe,Yes,"Corporation, Private",CRISPR,high,peripheral,"Medicine/pos, SciNazi",mixed,"Action,Drama,Mystery"
Designated Survivor (#privacyplease),2019,TV Ep,"DataPrivacy, GeneScreen, GMOs",microbe,Yes,"Corporation, Private",CRISPR,high,central,"SexGender, LGBTQIA",mixed,"Action,Drama,Mystery"
Designated Survivor (#scaredshitless),2019,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,"Corporation, Private","CRISPR, nanotechnology",high,central,"Bioethics, SciNazi, Race",mixed,"Action,Drama,Mystery"
Designated Survivor (#whocares),2019,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,"Corporation, Private","CRISPR, immunotherapy",high,central,"SciNazi, LGBTQIA, Medicine/pos",mixed,"Action,Drama,Mystery"
Dexter's Laboratory (Double Trouble),1996,TV Ep,Cloning,human,No,Private,NA,low,peripheral,"Childhood, SciMad",mixed,"Action,Adventure,Animation"
Dexter's Laboratory (Jurassic Pooch),1996,TV Ep,"Conservation, Chimera/TransGen",animal,No,Private,ancient DNA,low,peripheral,"Childhood, SciMad",mixed,"Action,Adventure,Animation"
Diagnosis Murder (Murder Can Be Contagious),1996,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,Corporation,NA,high,peripheral,"Bioethics, Forensics",negative,"Crime,Drama,Mystery"
"Die, Monster, Die",1965,Film,"Mutation, GMOs","plant, animal, human",Mixed,Private,radiation,low,central,"Prometheus, Monsters",negative,"Horror,Mystery,Sci-Fi"
"Discovery of Witches, A (Episode 1.2)",2018,TV Ep,"Evolution, Biobank, Conservation",human,NA,Academic,ancient DNA,low,peripheral,"Discrimination, Race, SciDedicated",positive,"Drama,Fantasy,Romance"
"Discovery of Witches, A (Episode 1.5)",2018,TV Ep,"GeneScreen, Evolution",human,No,Private,NA,mid,peripheral,"Discrimination, Genealogy",positive,"Drama,Fantasy,Romance"
"Discovery of Witches, A (Episode 2.4)",2021,TV Ep,"GeneScreen, GeneDisease",human,Mixed,Academic,NA,low,peripheral,"Genealogy, Mortality, Discrimination, Monsters",mixed,"Drama,Fantasy,Romance"
"Discovery of Witches, A (Episode 3.1-2)",2022,TV Ep,"GeneDisease, Biobank, Conservation, DataPrivacy, Eugenics",human,Mixed,Academic,ancient DNA,mid,central,"Genealogy, Monsters, Childhood, Adoption/NonBioParent, SciDedicated, NatureVNurture",mixed,"Drama,Fantasy,Romance"
"Discovery of Witches, A (Episode 3.4)",2022,TV Ep,"GeneScreen, Biobank, GeneDisease",human,Mixed,Academic,NA,high,central,"Genealogy, SexGender, Monsters",positive,"Drama,Fantasy,Romance"
"Discovery of Witches, A (Episode 3.7)",2022,TV Ep,Conservation,human,NA,Government,NA,low,peripheral,"Race, Discrimination, Genealogy, Interdependence",positive,"Drama,Fantasy,Romance"
District 9,2009,Film,"Chimera/TransGen, Mutation",human,No,"Accident, Corporation",NA,low,peripheral,"Autonomy, Bioethics, Discrimination, Exploitation, Race, SciCold, Sacrifice",mixed,"Action,Sci-Fi,Thriller"
DNA,1996,Film,"Cloning, Conservation",animal,Yes,Private,NA,low,peripheral,"Monsters, SciMad, Sacrifice",negative,"Action,Adventure,Horror"
DNA,2020,Film,"DNAtoID, DataPrivacy, Biobank",human,NA,Corporation,direct to consumer testing,high,central,"Genealogy, Childhood, Individualism, Race, Religion, NatureVNurture",mixed,Drama
Doctor Who (Bad Wolf),2005,TV Ep,GeneEngHu,human,No,Corporation,NA,low,peripheral,"Mortality, Exploitation, Autonomy",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (Dalek),2005,TV Ep,"Eugenics, DataPrivacy, Chimera/TransGen,  Essentialism",human,Mixed,Private,NA,low,peripheral,"Vulnerability, Exploitation, Monsters",mixed,"Adventure,Drama,Sci-Fi"
